Country,ctyCode
Algeria,12
Azerbaijan,31
Argentina,32
Australia,36
Austria,40
Belgium,56
Bolivia,68
Bosnia-Herzegovina,70
Brazil,76
Bulgaria,100
Belarus,112
Cameroon,120
Canada,124
Chile,152
China,156
Colombia,170
Costa Rica,188
Croatia,191
Czech Republic,203
Denmark,208
Dominican Republic,214
Ecuador,218
Estonia,233
Finland,246
France,251
Georgia,268
Germany,276
Greece,300
Guatemala,320
"Hong Kong, China",340
Hungary,348
Indonesia,360
Iran,364
Ireland,372
Israel,376
Italy,381
Japan,392
Kazakhstan,398
Kenya,404
South Korea,410
Latvia,428
Lithuania,440
Malaysia,458
Mexico,484
Morocco,504
Netherlands,528
New Zealand,554
Nigeria,566
Norway,579
Pakistan,586
Peru,604
Philippines,608
Poland,616
Portugal,620
Romania,642
Russia,643
Saudi Arabia,682
Serbia,688
India,699
Singapore,702
Slovakia,703
Vietnam,704
Slovenia,705
South Africa,710
Spain,724
Sweden,752
Switzerland,757
Thailand,764
United Arab Emirates,784
Tunisia,788
Turkey,792
Ukraine,804
Macedonia,807
Egypt,818
United Kingdom,826
USA,842
Uruguay,858
Uzbekistan,860
Venezuela,862
